Gene_Symbol	Day_0_R1	Day_0_R2	Day_0_R3	Day_7_R1	Day_7_R2	Day_7_R3	Comments
ACOT7	4676,502455916905	4168,511170407062	3849,576014588353 	3120,887656006427	3117,8314345989206	3316,7019654035876 	
ACOT8	1052,8241115501787	914,5946679124834	794,4652239659594 	732,9053478668512	808,0319237256042	845,40082676124 	
ACOT9	2401,2130574864136	2028,476211323124	2004,4144533164867 	1840,5473678608482	1811,7977280498114	1912,3028181939467	
ACOX1	3651,535560569284	3252,3348019574564	3103,117621273991 	3370,3535141381885	3366,947979165376	3552,688394813056	
ACOX2	218,47807459595694	183,76727976672254	185,0985581462033 	70,79879816541072	82,55979077764098	83,05178174034567 	
ACOX3	1411,952699725135	1352,674013974249	1237,7057044895448	1506,6749079538206	1579,8985312079287	1653,68727663188 	
ACOXL	39,43710003103485	47,47266943144618	30,412597777593362 	9,690798152590705	26,864898716441857	9,030834212248525	
ACP1	7830,818576319238	6702,634576894706	6324,572700709753 	4817,73868273368	4902,700241650017	4886,909785688288 	
ACP2	751,2931960781912	677,6963029198649	566,6488661183407	935,959504257667	997,0331137638539	1032,7138814904952	
ACP5	306,09575602322946	270,45185520764824	255,92835373141494 	97,08471096278946	118,173060363946	118,93617964623336	
ACP6	6035,477074010956	5096,594293999057	4975,373916128583 	1395,7441852277504	1449,6735650050784	1562,6273110742236	
ACP7	260,95598488734913	231,58388856627178	239,2702156562006 	154,00524128476886	172,40361437449363	165,33539163153168 	
ACPP	376,4974725943714	272,7558238580934	308,8559795646712	117,41854784967533	135,1375423416368	109,30409331898927 	
ACPT	33,65478349411279	13,032933420952668	27,196241240640305 	29,930155809335872	22,260042598128784	30,914991470466994	
ACR	1,0798001199582803	20,070890445989033	0,19055231905828673 	15,395430872908289	0,1015708235761148	4,853703605571125 	
ACRBP	24,2416899271796	15,700108624503853	29,78181049902249 	48,46903520645654	63,2982570056472	27,606073835195083	
ACRC	100,42075858360907	99,37234648859086	90,0103249504607	67,23533005873797	68,65297893597793	79,95448310954552	
ACRV1	26,626828159524948	44,54093358700073	23,81890255109581 	37,5063037601475	19,518509761907463	35,776732117311674	
ACSBG1	52,76621573089654	58,21599322184987	46,56979803084686 	52,28425701196033	80,87480954605536	38,86605899484234	
ACSBG2	85,92589426519307	100,23504145096588	78,02698110717655 	59,068842229326265	82,31037241258139	77,96075853282939 	
ACSF2	1432,2627710758381	1183,2357699591994	1121,837342915095	1821,6833475896715	1814,0566568475533	1892,294735695031	
ACSF3	1288,8525938773998	1176,0472387676516	1030,4457442311048 	1267,172166606834	1370,1939777797677	1439,675158018925	
ACSL1	7486,121773416703	6358,537191162663	6119,430997452898 	2038,1807519988042	2051,0022552481455	2152,8525391897124 	
ACSL3	15244,248437702568	13010,898057376859	12660,304405312934 	6894,26207423617	6795,317376156344	7485,256098454688	
ACSL4	5273,485507826039	4576,442907008659	4372,035905895745 	3908,8293042638816	4226,851418022058	4275,033964375599 	
ACSL5	111,75838994304529	83,73232723489593	103,2799219171411 	432,15997810873915	416,09590475042205	453,7663827572783 	
ACSL6	46,12631468100692	40,117361855123214	48,83543036074778 	38,873383640414325	34,41345934573911	49,673474897145695	
ACSM1	11,71629710685389	16,465665092661737	0,0 	9,065062782796465	0,0	9,943110022004898	
ACSM2A	9,928127820852254	11,713342998360412	7,61720830986633	9,850469052782069	2,496202408762647	8,939585270167946	
ACSM2B	0,9018688400904653	9,690562010115421	0,6913403277226944	4,962807782661777	0,0	10,945823422493088 	
ACSM3	1307,3021130622121	1175,3042438646441	1085,5927451246284	564,1228099979991	555,7449761924399	623,2678621979288	
ACSM4	53,95499765379433	56,21822248068639	35,98846572658973	69,76830151292766	57,71820786472753	61,38794684703911 	
ACSM5	12,702219385929839	8,788926810929935	3,348497000523973	0,0	2,4517210256283524	3,306884606857838	
ACSM6	0,0	12,689784988834097	14,364658982812387 	6,892251820267325	15,317944083316014	12,944183748970957 	
ACSS1	835,0316955023422	804,4688267985447	696,1378030336256	1340,2796181002577	1358,3033703352007	1432,7895032709805 	
ACSS2	1747,5658354966315	1659,2659391489467	1545,622722774957	726,9236124164815	738,9408242667155	800,6635732286493	
ACSS3	10,645345066711505	8,369909962604241	16,746826384220565 	17,09728032717213	8,771001638629933	17,058902306655348	
ACTA1	11,196380611775478	6,046033984912912	19,60591904661738	15,75809997397853	3,9335849158453753	0,0 	
ACTA2	37,89303657515647	20,55788534176038	32,412593380235364 	38,8815051537812	17,32492367515862	49,13434458272016 	
